benchmark,aarch64-clang,aarch64-tpde,aarch64-tpde-old,o1-aarch64-clang,o1-aarch64-tpde,o1ir-aarch64-clang,o1ir-aarch64-tpde,o1ir-aarch64-tpde-old,x86_64-clang,x86_64-tpde,x86_64-tpde-old,o1-x86_64-clang,o1-x86_64-tpde,o1ir-x86_64-clang,o1ir-x86_64-tpde,o1ir-x86_64-tpde-old
600.perl,1.00000,8.22069,8.21550,1.00000,nan,5.82928,19.87847,125.28687,1.00000,2.69202,15.63016,1.00000,17.88426,6.47106,18.14193,127.87883
602.gcc,1.00000,10.91225,10.99173,1.00000,nan,5.99397,27.28454,155.74328,1.00000,3.92352,19.95819,1.00000,21.41443,6.04619,21.45815,133.93095
605.mcf,1.00000,9.28954,9.18788,1.00000,nan,5.63235,28.27347,101.88753,1.00000,3.28466,12.12129,1.00000,17.23276,4.93653,16.85680,61.77388
620.omnetpp,1.00000,17.45058,17.47017,1.00000,nan,3.95391,28.56265,101.68473,1.00000,11.25455,31.20803,1.00000,27.10214,3.16376,27.30888,97.94773
623.xalanc,1.00000,16.23015,16.23518,1.00000,nan,4.03827,28.63009,98.13203,1.00000,11.05104,28.35816,1.00000,27.75819,3.33478,28.02010,90.74714
625.x264,1.00000,9.86974,9.68346,1.00000,nan,5.58770,21.62103,101.72659,1.00000,3.29377,15.21263,1.00000,21.22236,5.88749,20.91570,106.25931
631.deepsjeng,1.00000,9.21972,8.89536,1.00000,nan,4.16742,19.81447,90.47545,1.00000,2.63091,12.79118,1.00000,18.28244,5.06031,16.52259,80.50652
641.leela,1.00000,15.83420,15.77252,1.00000,nan,4.17688,22.34002,99.08781,1.00000,10.06820,29.16141,1.00000,22.47892,3.98686,22.21153,93.34587
648.exchange2,1.00000,2.08143,9.39169,1.00000,nan,6.24450,7.03387,114.60287,1.00000,5.19456,28.56033,1.00000,9.87879,12.45360,9.76501,254.52484
657.xz,1.00000,10.66269,11.08633,1.00000,nan,4.19475,25.07359,89.22956,1.00000,4.07037,13.51749,1.00000,16.44326,4.35364,15.98017,64.07242
geomean,1.00000,9.72254,11.27794,1.00000,nan,4.90162,21.50628,106.34552,1.00000,4.89881,19.34265,1.00000,19.26292,5.14996,18.96360,102.04709
