benchmark,aarch64-clang,aarch64-tpde,o1-aarch64-clang,o1-aarch64-tpde,o1ir-aarch64-clang,o1ir-aarch64-tpde,o1ir-aarch64-tpde-old,x86_64-clang,x86_64-tpde,o1-x86_64-clang,o1-x86_64-tpde,o1ir-x86_64-clang,o1ir-x86_64-tpde,o1ir-x86_64-tpde-old
600.perl,nan,nan,1.00000,nan,0.22100,nan,0.33426,nan,nan,1.00000,nan,0.21221,0.37754,0.37427
602.gcc,nan,nan,1.00000,nan,0.40704,nan,0.56133,nan,nan,1.00000,nan,0.44905,0.71777,0.57271
605.mcf,nan,nan,1.00000,nan,0.58933,0.77079,0.71729,nan,nan,1.00000,nan,0.67953,0.83604,0.71968
620.omnetpp,nan,nan,1.00000,nan,0.77506,0.87828,0.85369,nan,nan,1.00000,nan,0.86283,0.88171,0.89415
623.xalanc,nan,nan,1.00000,nan,0.50324,nan,0.65497,nan,nan,1.00000,nan,0.58861,0.69009,0.67517
625.x264,nan,nan,1.00000,nan,0.35321,0.67798,0.42251,nan,nan,1.00000,nan,0.60441,0.87437,0.65232
631.deepsjeng,nan,nan,1.00000,nan,0.67222,0.75610,0.70818,nan,nan,1.00000,nan,0.74400,0.76450,0.74855
641.leela,nan,nan,1.00000,nan,0.61570,0.66766,0.59907,nan,nan,1.00000,nan,0.67955,nan,0.67526
648.exchange2,nan,nan,1.00000,nan,0.50208,0.55469,0.64467,nan,nan,1.00000,nan,0.51400,0.57519,0.40942
657.xz,nan,nan,1.00000,nan,0.64479,0.78842,0.69024,nan,nan,1.00000,nan,1.00000,1.08656,0.89415
geomean,nan,nan,1.00000,nan,0.50010,0.72104,0.59956,nan,nan,1.00000,nan,0.59062,0.72822,0.63838
