benchmark,aarch64-clang,aarch64-tpde,o1-aarch64-clang,o1-aarch64-tpde,o1ir-aarch64-clang,o1ir-aarch64-tpde,o1ir-aarch64-tpde-old,x86_64-clang,x86_64-tpde,o1-x86_64-clang,o1-x86_64-tpde,o1ir-x86_64-clang,o1ir-x86_64-tpde,o1ir-x86_64-tpde-old
600.perl,nan,nan,1.00000,2.10758,1.87827,2.10758,1.77646,nan,nan,1.00000,2.30392,2.26104,2.30392,1.97860
602.gcc,nan,nan,1.00000,1.86858,1.75794,1.86858,1.66218,nan,nan,1.00000,1.99869,1.96937,1.99869,1.77016
605.mcf,nan,nan,1.00000,2.09768,1.86778,2.09768,1.84768,nan,nan,1.00000,2.12625,2.17885,2.12625,1.85048
620.omnetpp,nan,nan,1.00000,1.73524,1.54194,1.73524,1.61883,nan,nan,1.00000,1.87479,1.87851,1.87479,1.72198
623.xalanc,nan,nan,1.00000,1.90059,1.61619,1.90059,1.69045,nan,nan,1.00000,1.97749,1.97729,1.97749,1.74758
625.x264,nan,nan,1.00000,1.86390,1.70887,1.86390,1.75999,nan,nan,1.00000,1.78970,1.89706,1.78970,1.67081
631.deepsjeng,nan,nan,1.00000,1.83077,1.73047,1.83077,1.71153,nan,nan,1.00000,1.87701,1.99466,1.87701,1.74914
641.leela,nan,nan,1.00000,1.92031,1.74613,1.92031,1.77505,nan,nan,1.00000,1.90405,2.09177,1.90405,1.78751
648.exchange2,nan,nan,1.00000,2.56622,1.93080,2.56622,1.85466,nan,nan,1.00000,2.50132,2.14239,2.50298,1.84640
657.xz,nan,nan,1.00000,2.10875,2.17871,2.10875,2.11315,nan,nan,1.00000,2.25662,2.62809,2.25676,2.23159
geomean,nan,nan,1.00000,1.98840,1.78794,1.98840,1.77638,nan,nan,1.00000,2.04996,2.09206,2.05011,1.82939
