benchmark    , aarch64_tpde_analysis, aarch64_tpde_emit_obj, aarch64_tpde_global_gen, aarch64_tpde_prepass, aarch64_tpde_tpde_cg, aarch64_tpde_tpde_pl, aarch64_tpde_tpde_spill, aarch64_tpde_remainder, aarch64_tpde_old_analysis, aarch64_tpde_old_emit_obj, aarch64_tpde_old_global_gen, aarch64_tpde_old_prepass, aarch64_tpde_old_tpde_cg, aarch64_tpde_old_remainder, x86_64_tpde_analysis, x86_64_tpde_emit_obj, x86_64_tpde_global_gen, x86_64_tpde_prepass, x86_64_tpde_tpde_cg, x86_64_tpde_tpde_pl, x86_64_tpde_tpde_spill, x86_64_tpde_remainder, x86_64_tpde_old_analysis, x86_64_tpde_old_emit_obj, x86_64_tpde_old_global_gen, x86_64_tpde_old_prepass, x86_64_tpde_old_tpde_cg, x86_64_tpde_old_remainder
600.perl     ,          113785.20000,            1163.60000,              1802.40000,           8258.20000,         141180.80000,         228635.60000,            104250.00000,             3760.40000,               12341.60000,                 633.60000,                  1849.60000,               7481.20000,              37852.80000,                 2968.80000,          93163.80000,           1302.80000,             1382.40000,          8388.20000,        145391.20000,        250087.40000,           100361.40000,            4504.80000,               9936.20000,               2258.20000,                 1420.40000,              6226.40000,             43274.60000,                4034.40000
602.gcc      ,         2144711.20000,            2760.40000,              9495.60000,          33982.00000,         440723.60000,         641256.40000,            343774.60000,            15829.60000,               41761.40000,                2888.00000,                  9466.00000,              30564.40000,             131305.80000,                14770.40000,        1770109.60000,           7278.40000,             8220.40000,         38362.40000,        497768.80000,        681420.80000,           344539.40000,           23855.00000,              40098.40000,              10442.40000,                 8581.40000,             32028.60000,            172358.40000,               21592.60000
605.mcf      ,             425.00000,              11.20000,                27.40000,            100.80000,           1857.40000,           1589.20000,              1159.40000,              191.20000,                 179.40000,                  10.20000,                    26.20000,                 91.00000,                680.00000,                  204.00000,            346.40000,             32.60000,               30.60000,           103.20000,          1927.40000,          1602.40000,             1036.60000,             345.80000,                183.20000,                 24.20000,                   33.60000,                96.80000,               957.00000,                 344.40000
620.omnetpp  ,           31748.40000,            1206.40000,              3534.60000,           7706.40000,          79592.80000,          74554.40000,             75159.80000,             9144.00000,                8937.60000,                1091.20000,                  3586.60000,               6756.60000,              31739.00000,                 8319.80000,          31599.40000,           3329.80000,             3710.80000,          8151.20000,         97300.20000,         82275.40000,            75549.00000,           14045.20000,               9488.60000,               3737.80000,                 3883.80000,              7136.80000,             45097.40000,               13128.20000
623.xalanc   ,           71363.00000,            3379.60000,              8752.00000,          19618.20000,         212319.80000,         174494.60000,            157012.40000,            24567.40000,               22458.40000,                2776.80000,                  8607.40000,              17390.80000,              82799.80000,                23518.20000,          69465.20000,           8328.40000,            10419.00000,         22012.40000,        256527.60000,        190279.40000,           163459.20000,           40156.20000,              24347.80000,               8835.40000,                11210.40000,             18679.80000,            121164.00000,               38969.00000
625.x264     ,           20381.00000,             514.40000,              1479.80000,           3724.20000,          58098.00000,          71491.60000,             52184.40000,             2298.40000,                5997.00000,                 305.40000,                  1315.40000,               3602.80000,              21210.40000,                 2318.40000,          14471.40000,            689.80000,              993.00000,          3434.40000,         55246.60000,         65714.80000,            45667.80000,            3680.40000,               4832.00000,               1702.80000,                 1048.80000,              2950.00000,             24635.40000,                3581.40000
631.deepsjeng,            1937.40000,              51.40000,               123.20000,            442.60000,           7311.20000,           7638.60000,              4847.00000,              395.60000,                 609.60000,                  37.60000,                   127.40000,                397.40000,               2755.80000,                  405.20000,           1271.20000,             70.00000,               96.60000,           364.00000,          5720.60000,          5903.60000,             3403.60000,             648.20000,                473.20000,                 99.60000,                  105.40000,               329.40000,              2581.40000,                 611.20000
641.leela    ,            4456.80000,              82.60000,               114.60000,            789.20000,          10933.80000,          10152.40000,              8714.40000,              760.60000,                1106.40000,                  79.20000,                   124.20000,                695.80000,               3656.40000,                  705.80000,           3461.00000,            157.60000,              118.40000,           732.00000,         10427.40000,          9667.60000,             7103.40000,            1079.60000,                932.40000,                227.00000,                  137.60000,               652.60000,              4420.00000,                1010.80000
648.exchange2,           17608.80000,              39.40000,                53.80000,            513.80000,          12844.40000,          53024.80000,             11728.60000,               55.40000,                1222.40000,                  41.20000,                    54.20000,                674.20000,               3574.60000,                   61.80000,           5419.20000,             38.40000,               19.20000,           282.40000,         10253.80000,         34135.00000,             7600.40000,              37.80000,                355.60000,                 64.60000,                   19.80000,               189.80000,              2349.80000,                 538.60000
657.xz       ,            3697.00000,             232.20000,               260.60000,            658.00000,          12362.40000,          11414.60000,              7894.20000,             1565.20000,                1084.80000,                 100.40000,                   260.80000,                662.00000,               4913.20000,                 1676.00000,           3568.60000,            293.20000,              246.20000,           788.20000,         14530.80000,         14028.80000,             7588.60000,            2879.20000,               1174.80000,                232.00000,                  251.00000,               678.20000,              7013.00000,                2815.60000
geomean      ,           17498.81183,             279.70182,               579.20550,           2125.37567,          32797.81601,          39878.48616,             25120.64706,             1654.09524,                3160.83836,                 215.17284,                   578.06361,               2011.99802,              11279.64810,                 1614.32967,          13148.10139,            485.95758,              485.11076,          2034.28017,         33364.78278,         38772.68821,            22131.29303,            2381.76606,               2616.15476,                636.26637,                  516.37793,              1707.01476,             13356.33948,                2959.24566
